PCRINCONCLUSIVE,POSITIVITYRATE,POSITIVITYRATE
0,100,100
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,33.33333333,33.33333333
0,10,10
0,0,0
0,17.64705882,17.64705882
0,7.317073171,7.317073171
0,9.85915493,9.85915493
0,12.19512195,12.19512195
0,12.98701299,12.98701299
0,12.90322581,12.90322581
0,20.68965517,20.68965517
0,7.954545455,7.954545455
0,12.84916201,12.84916201
0,12.07729469,12.07729469
0,18.22916667,18.22916667
0,19.2893401,19.2893401
0,20.39473684,20.39473684
0,32.53012048,32.53012048
0,13.1097561,13.1097561
0,17.00404858,17.00404858
0,16.2962963,16.2962963
0,18.43003413,18.43003413
0,14.0562249,14.0562249
0,14.20454545,14.20454545
0,24.16666667,24.16666667
0,29.44785276,29.44785276
0,19.27083333,19.27083333
0,22.16216216,22.16216216
0,21.37931034,21.37931034
0,21.69312169,21.69312169
0,14.28571429,14.28571429
0,27.05882353,27.05882353
0,14.64646465,14.64646465
0,15.07537688,15.07537688
1,21.57894737,21.57894737
0,16.93989071,16.93989071
1,15.71428571,15.71428571
0,19.8019802,19.8019802
0,18.18181818,18.18181818
2,14.73684211,14.73684211
4,23.63636364,23.63636364
2,11.15384615,11.15384615
6,17.78656126,17.78656126
8,9.090909091,9.090909091
0,19.23076923,19.23076923
0,19.79166667,19.79166667
1,15.12605042,15.12605042
1,15,15
1,23.43234323,23.43234323
2,16.31578947,16.31578947
1,17.07317073,17.07317073
0,10.34482759,10.34482759
0,11.9047619,11.9047619
1,15.78947368,15.78947368
1,15.51724138,15.51724138
1,10.38575668,10.38575668
0,8.394160584,8.394160584
1,5.485232068,5.485232068
0,7.894736842,7.894736842
0,9.803921569,9.803921569
0,8.849557522,8.849557522
2,13.19018405,13.19018405
0,12.77955272,12.77955272
0,8.359133127,8.359133127
0,6.982543641,6.982543641
0,9.444444444,9.444444444
0,6.369426752,6.369426752
0,6.818181818,6.818181818
0,11.30820399,11.30820399
0,9.880239521,9.880239521
0,9.135802469,9.135802469
0,4.205607477,4.205607477
0,3.791469194,3.791469194
0,3.571428571,3.571428571
0,5.913978495,5.913978495
0,6.510851419,6.510851419
0,6.401384083,6.401384083
0,6.26223092,6.26223092
0,4.794520548,4.794520548
1,5.579399142,5.579399142
0,7.103825137,7.103825137
1,6.518282989,6.518282989
1,5.753968254,5.753968254
0,5.535055351,5.535055351
1,5.66572238,5.66572238
0,5.870020964,5.870020964
0,6.578947368,6.578947368
0,2.631578947,2.631578947
0,4.483430799,4.483430799
0,5.523809524,5.523809524
0,4.051565378,4.051565378
0,6.871165644,6.871165644
0,4.838709677,4.838709677
1,3.194888179,3.194888179
0,4.395604396,4.395604396
1,3.945578231,3.945578231
0,6.259780908,6.259780908
2,5.505952381,5.505952381
1,6.779661017,6.779661017
2,5.098039216,5.098039216
0,6.609195402,6.609195402
0,11.11111111,11.11111111
8,6.923076923,6.923076923
1,5.838509317,5.838509317
3,6.527415144,6.527415144
0,7.704160247,7.704160247
0,7.04787234,7.04787234
0,8.222222222,8.222222222
0,7.422680412,7.422680412
1,8.675373134,8.675373134
0,7.75862069,7.75862069
0,8.087431694,8.087431694
1,9.071729958,9.071729958
0,9.661835749,9.661835749
0,16.31944444,16.31944444
0,10.13333333,10.13333333
0,8.404074703,8.404074703
1,8.991825613,8.991825613
0,10.3843009,10.3843009
1,9.796314258,9.796314258
2,8.426966292,8.426966292
0,8.412698413,8.412698413
0,9.487666034,9.487666034
1,8.053691275,8.053691275
0,9.090909091,9.090909091
0,8.093994778,8.093994778
0,9.87654321,9.87654321
0,9.875259875,9.875259875
0,11.39489195,11.39489195
1,11.00244499,11.00244499
4,7.985865724,7.985865724
2,7.82674772,7.82674772
0,11.89245088,11.89245088
2,8.675373134,8.675373134
1,8.658743633,8.658743633
0,6.835066865,6.835066865
0,7.321428571,7.321428571
1,10.1842871,10.1842871
2,8.981001727,8.981001727
3,8.823529412,8.823529412
6,8.596713021,8.596713021
0,7.944915254,7.944915254
8,11.68437026,11.68437026
5,8.963093146,8.963093146
7,6.516853933,6.516853933
4,6.9527897,6.9527897
1,8.356039964,8.356039964
0,6.64893617,6.64893617
2,8.461538462,8.461538462
0,8.87245841,8.87245841
0,8.474576271,8.474576271
2,7.84114053,7.84114053
10,7.524059493,7.524059493
1,6.937033084,6.937033084
1,7.782101167,7.782101167
2,8.333333333,8.333333333
0,8.66807611,8.66807611
1,6.652806653,6.652806653
0,6.443298969,6.443298969
2,5.719237435,5.719237435
0,5.897887324,5.897887324
1,5.721096544,5.721096544
1,7.260273973,7.260273973
0,5.45112782,5.45112782
1,9.926470588,9.926470588
1,5.874673629,5.874673629
0,5.053191489,5.053191489
0,4.75638051,4.75638051
0,5.755395683,5.755395683
1,6.63507109,6.63507109
0,5,5
0,6.231454006,6.231454006
2,6.032171582,6.032171582
2,5.074626866,5.074626866
1,5.555555556,5.555555556
0,5.605095541,5.605095541
0,6.676783005,6.676783005
0,5.144694534,5.144694534
0,6.474820144,6.474820144
0,8.646616541,8.646616541
2,4.013015184,4.013015184
1,6.089309878,6.089309878
0,6.690997567,6.690997567
0,4.166666667,4.166666667
0,3.903903904,3.903903904
1,4.945054945,4.945054945
1,4.132231405,4.132231405
2,5.233941316,5.233941316
1,3.804797353,3.804797353
1,4.451038576,4.451038576
0,4.05982906,4.05982906
0,4.518664047,4.518664047
0,6.727828746,6.727828746
1,3.763010408,3.763010408
0,3.269367448,3.269367448
0,4.215686275,4.215686275
0,3.536977492,3.536977492
1,4.936854191,4.936854191
1,5.301204819,5.301204819
2,5.750798722,5.750798722
3,2.666666667,2.666666667
0,2.108678021,2.108678021
1,4.679802956,4.679802956
3,3.921568627,3.921568627
0,6.973684211,6.973684211
0,3.846153846,3.846153846
0,6.702412869,6.702412869
3,4.752275025,4.752275025
1,3.971405878,3.971405878
1,5.240641711,5.240641711
1,4.888416578,4.888416578
1,6.157354618,6.157354618
0,7.522123894,7.522123894
1,13.20224719,13.20224719
4,7.113402062,7.113402062
2,4.214328718,4.214328718
0,5.342624855,5.342624855
0,5.915178571,5.915178571
0,7.923169268,7.923169268
0,10.6557377,10.6557377
0,9.014084507,9.014084507
6,6.853932584,6.853932584
2,4.512635379,4.512635379
0,7.907907908,7.907907908
1,6.747230614,6.747230614
0,9.578107184,9.578107184
0,8.319185059,8.319185059
0,12.60053619,12.60053619
2,9.456928839,9.456928839
2,6.547285954,6.547285954
4,9.566787004,9.566787004
2,8.870292887,8.870292887
0,9.478021978,9.478021978
0,11.94331984,11.94331984
0,20.83333333,20.83333333
8,10.22463207,10.22463207
2,8.413461538,8.413461538
1,12.32394366,12.32394366
2,12.12781409,12.12781409
1,13.50861287,13.50861287
0,14.28571429,14.28571429
1,15.54404145,15.54404145
3,11.46757679,11.46757679
0,13.76770538,13.76770538
1,14.28571429,14.28571429
1,15.02843217,15.02843217
4,14.45086705,14.45086705
1,15.50151976,15.50151976
3,14.86068111,14.86068111
2,10.63690085,10.63690085
1,11.69916435,11.69916435
1,12.22222222,12.22222222
1,9.911406423,9.911406423
3,11.63946061,11.63946061
0,11.63069544,11.63069544
0,13.37662338,13.37662338
2,13.26754386,13.26754386
1,11.70149254,11.70149254
1,12.47933884,12.47933884
0,18.93004115,18.93004115
1,13.13131313,13.13131313
0,18.53088481,18.53088481
0,18.27956989,18.27956989
2,16.00803751,16.00803751
2,13.25376884,13.25376884
1,12.10191083,12.10191083
0,14.42477876,14.42477876
2,11.13945578,11.13945578
0,13.48837209,13.48837209
0,15.85623679,15.85623679
1,11.42191142,11.42191142
1,11.62952646,11.62952646
0,10.21721641,10.21721641
1,12.30907457,12.30907457
9,12.99810247,12.99810247
1,15.21335807,15.21335807
1,15.05791506,15.05791506
1,12.55539143,12.55539143
3,12.15323646,12.15323646
1,14.31767338,14.31767338
1,11.15276476,11.15276476
2,12.14611872,12.14611872
0,13.35616438,13.35616438
2,16.07773852,16.07773852
1,10.0433526,10.0433526
5,9.534883721,9.534883721
1,11.48325359,11.48325359
2,10.53412463,10.53412463
0,13.66459627,13.66459627
0,15.67010309,15.67010309
0,18.11414392,18.11414392
3,10.84254144,10.84254144
2,11.80237877,11.80237877
2,12.26874391,12.26874391
0,12.00417537,12.00417537
0,21.47651007,21.47651007
0,15.61514196,15.61514196
0,19.45454545,19.45454545
0,10.60267857,10.60267857
4,12.88433382,12.88433382
1,12.36442516,12.36442516
0,9.88909427,9.88909427
3,9.904761905,9.904761905
1,9.941520468,9.941520468
1,11.2412178,11.2412178
2,5.691056911,5.691056911
4,9.182736455,9.182736455
1,9.441624365,9.441624365
4,7.023895728,7.023895728
1,7.97366496,7.97366496
2,9.031198686,9.031198686
1,11.72707889,11.72707889
0,5.859065717,5.859065717
2,5.841121495,5.841121495
0,8.41995842,8.41995842
3,6.507177033,6.507177033
5,5.017605634,5.017605634
1,6.312292359,6.312292359
0,5.736434109,5.736434109
1,6.265457543,6.265457543
1,5.194805195,5.194805195
0,7.491856678,7.491856678
0,6.021505376,6.021505376
1,9.06002265,9.06002265
0,6.148282098,6.148282098
1,7.797270955,7.797270955
2,4.765450484,4.765450484
3,4.0802213,4.0802213
1,5.625606208,5.625606208
2,3.048264183,3.048264183
1,4.260651629,4.260651629
3,6.896551724,6.896551724
1,4.347826087,4.347826087
1,3.291814947,3.291814947
1,4.364569961,4.364569961
2,4.246284501,4.246284501
0,4.505494505,4.505494505
2,5.23415978,5.23415978
2,4.260089686,4.260089686
0,6.948640483,6.948640483
1,4.096834264,4.096834264
0,3.064516129,3.064516129
0,3.640776699,3.640776699
1,2.81848929,2.81848929
4,3.194444444,3.194444444
1,5.074626866,5.074626866
0,3.532608696,3.532608696
1,1.634877384,1.634877384
3,3.420523139,3.420523139
1,3.010471204,3.010471204
1,3.096774194,3.096774194
0,3.462050599,3.462050599
1,4.819277108,4.819277108
1,4.273504274,4.273504274
0,2.523659306,2.523659306
0,1.737242128,1.737242128
1,3.102961918,3.102961918
1,4.298356511,4.298356511
1,1.296829971,1.296829971
0,5.147058824,5.147058824
1,5.357142857,5.357142857
1,2.842105263,2.842105263
0,2.371916509,2.371916509
0,4.832713755,4.832713755
2,4.66045273,4.66045273
0,4.475308642,4.475308642
1,3.139013453,3.139013453
0,5.294117647,5.294117647
0,3.555555556,3.555555556
1,2.124183007,2.124183007
0,3.034134008,3.034134008
0,3.916083916,3.916083916
0,2.883156297,2.883156297
0,4.516129032,4.516129032
1,5.974842767,5.974842767
3,2.88153682,2.88153682
1,3.12837109,3.12837109
0,3.281027104,3.281027104
3,4.481434059,4.481434059
0,4.530201342,4.530201342
2,8.868501529,8.868501529
2,6.172839506,6.172839506
4,5.333333333,5.333333333
2,3.0651341,3.0651341
0,3.516819572,3.516819572
1,3.846153846,3.846153846
0,4.674457429,4.674457429
0,3.909465021,3.909465021
0,5.592105263,5.592105263
1,3.533568905,3.533568905
0,4.166666667,4.166666667
0,5.882352941,5.882352941
1,4.671717172,4.671717172
7,5.04587156,5.04587156
3,10.02785515,10.02785515
5,7.570977918,7.570977918
1,5.115712546,5.115712546
2,4.121687929,4.121687929
15,4.02173913,4.02173913
3,5.736636245,5.736636245
1,5.601317957,5.601317957
1,10.82474227,10.82474227
0,8.554572271,8.554572271
0,4.857444562,4.857444562
1,4.98783455,4.98783455
4,6.932153392,6.932153392
15,3.762827822,3.762827822
19,6.451612903,6.451612903
3,7.317073171,7.317073171
2,5.83090379,5.83090379
13,6.016847172,6.016847172
0,6.241699867,6.241699867
4,6.873315364,6.873315364
2,6.569343066,6.569343066
1,8.542713568,8.542713568
0,6.906077348,6.906077348
1,8.465608466,8.465608466
2,4.447115385,4.447115385
3,4.785276074,4.785276074
1,4.078947368,4.078947368
4,5.103668262,5.103668262
5,6.126482213,6.126482213
0,5.797101449,5.797101449
1,5.483870968,5.483870968
0,3.076923077,3.076923077
5,3.526093089,3.526093089
0,4.96124031,4.96124031
6,4.270986745,4.270986745
0,4.891304348,4.891304348
0,7.051282051,7.051282051
9,7.262569832,7.262569832
4,3.475513428,3.475513428
3,3.558052434,3.558052434
5,4.275092937,4.275092937
0,4.474272931,4.474272931
2,4.6875,4.6875
0,4.347826087,4.347826087
0,6.993006993,6.993006993
0,4.107142857,4.107142857
1,2.888888889,2.888888889
1,3.803131991,3.803131991
7,4.188481675,4.188481675
1,2.72479564,2.72479564
3,4.237288136,4.237288136
3,6.153846154,6.153846154
6,2.272727273,2.272727273
0,5.035971223,5.035971223
0,4.310344828,4.310344828
0,3.066037736,3.066037736
0,3.915662651,3.915662651
0,5.474452555,5.474452555
0,6.726457399,6.726457399
1,2.066115702,2.066115702
0,3.225806452,3.225806452
1,4.775280899,4.775280899
0,3.79403794,3.79403794
0,4.166666667,4.166666667
1,5.147058824,5.147058824
0,1.639344262,1.639344262
0,3.255813953,3.255813953
0,2.558139535,2.558139535
0,2.01793722,2.01793722
0,2.110817942,2.110817942
0,4.304635762,4.304635762
0,6.451612903,6.451612903
1,3.405572755,3.405572755
0,4.028436019,4.028436019
0,4.481132075,4.481132075
0,4.709141274,4.709141274
1,4.45026178,4.45026178
0,7.365439093,7.365439093
0,10.03717472,10.03717472
0,9.385113269,9.385113269
0,4.073319756,4.073319756
0,7.124010554,7.124010554
0,6.140350877,6.140350877
1,6.937799043,6.937799043
1,7.804878049,7.804878049
0,7.662835249,7.662835249
0,8.333333333,8.333333333
0,8.793969849,8.793969849
0,8.904109589,8.904109589
0,7.615230461,7.615230461
1,11.80555556,11.80555556
0,8.904109589,8.904109589
0,11.11111111,11.11111111
0,11.64179104,11.64179104
0,11.27272727,11.27272727
0,9.55165692,9.55165692
0,10.34482759,10.34482759
0,15.07246377,15.07246377
0,6.896551724,6.896551724
0,0,0
